KO_code	Compound_codes
K07127	C11821,C11821,C11821
K00540	
K00228	C03263,C03263,C03263
K06080	
K01895	C00033,C00033,C00033,C00033,C00033,C00033,C00033,C05993,C00033,C00100,C05983
K02853	
K12148	
K01892	C00135
K00548	C00155,C00440,C00155,C00155,C00155,C05698
K01223	C06188
K02450	
K08313	
K01147	
K01146	
K07147	
K03557	
K01142	
K01791	C00043,C00043,C00043,C00043,C01170
K01419	
K01061	C04431,C04431,C07090,C07090,C04706,C04706,C04706,C12834,C12835,C12834,C12838,C12838,C16477,C16477,C16476,C16476,C16476,C18242,C18242,C18309,C18309,C18304,C18304
K01066	C06676,C06676,C12448,C18216,C18216
K11209	
K00859	C00882,C00882
K03293	
K00826	C00123,C00123,C00123,C00233,C00123,C00233,C00123,C00183,C00141,C00183,C00183,C00141,C00183,C00141,C00183,C00407,C00671,C00407,C00671,C00407,C00671,C00407
